3,1,2,3,5,6,5,9,4,8,10,4,1,5,7,1,162.077000141,None,None
1,5,2,4,6,8,7,5,3,10,11,6,2,1,5,3,178.224000216,145.940000057,None
4,8,2,1,8,5,7,4,2,11,6,9,1,3,4,5,225.904000044,182.015000105,None
4,2,1,5,5,11,7,1,3,9,8,4,1,4,5,1,205.263999939,159.443000078,None
5,3,2,1,1,9,7,4,3,11,8,6,1,5,1,4,190.111999989,160.735000134,None
1,3,7,2,2,8,10,4,5,3,6,5,3,1,3,1,141.453999996,None,None
2,4,3,1,5,7,5,2,1,9,10,8,6,4,1,2,142.96600008,None,None
1,3,5,7,6,12,8,1,4,9,5,3,1,2,3,1,267.389999866,190.816999912,241.701999903
1,3,2,1,4,6,8,3,9,7,10,5,4,1,4,3,163.304999828,None,None
1,3,9,3,2,8,6,5,4,3,7,10,5,2,4,3,152.723999977,None,None
3,1,3,1,1,8,4,5,4,2,9,2,2,10,8,3,149.445000172,None,None
3,5,2,1,8,7,9,3,3,6,4,1,1,2,10,3,148.949999809,None,None
